gu,name,rent,return,station
성북구,1328. 월곡역 3번출구,2920,3021,월곡역3번출구
성북구,4408. 돌곶이역 앞,2347,2475,돌곶이역앞
성북구,1332. 석계역 5번출구 건너편,2007,2071,석계역5번출구
성북구,1318. 길음역 3번출구 뒤,1356,1454,길음역3번출구
성북구,1327. 상월곡역 3번출구,1104,1101,상월곡역3번출구
성북구,1326. 상월곡역 1번출구,885,821,상월곡역1번출구
성북구,4414. 안암역 3번 출구,737,711,안암역3번
성북구,1325. 상월곡역 4번출구,474,336,상월곡역4번출구
