gu,name,rent,return,station
동대문구,631. 답십리역 1번출구,3960,4251,답십리역1번출구
동대문구,659. 제기동역 1번출구,2764,2650,제기동역1번출구
동대문구,613. 신설동역 10번출구 앞,2464,2576,신설동역10번출구
동대문구,641. 용두역 4번출구,2398,2615,용두역4번출구
동대문구,642. 신답역 사거리,1884,1909,신답역사거리
동대문구,663. 외대앞역 3번출구,1816,1964,외대앞역3번출구
동대문구,4104. 외대앞역 교차로,1105,1147,외대앞역교차로
동대문구,607. 신이문역 2번출구,740,893,신이문역2번출구
동대문구,646. 장한평역 3번출구,439,443,장한평역3번출구
